tensor(indices=tensor([[   0,    0,    0,  ..., 2707, 2707, 2707],
                       [   0,  633, 1862,  ..., 1473, 2706, 2707]]),
       values=tensor([1, 1, 1,  ..., 1, 1, 1]),
       size=(2708, 2708), nnz=13264, layout=torch.sparse_coo)
Epoch: 074 --> accuracy: Train: 0.8214, Val: 0.6460, Test: 0.6340
Epoch: 075 --> accuracy: Train: 0.8429, Val: 0.6620, Test: 0.6430
Epoch: 076 --> accuracy: Train: 0.8857, Val: 0.6840, Test: 0.6600
Epoch: 077 --> accuracy: Train: 0.8929, Val: 0.6960, Test: 0.6710
Epoch: 078 --> accuracy: Train: 0.8857, Val: 0.7100, Test: 0.6970
Epoch: 079 --> accuracy: Train: 0.8929, Val: 0.7240, Test: 0.7140
Epoch: 080 --> accuracy: Train: 0.9000, Val: 0.7440, Test: 0.7470
Epoch: 081 --> accuracy: Train: 0.9071, Val: 0.7540, Test: 0.7520
Epoch: 082 --> accuracy: Train: 0.8857, Val: 0.7620, Test: 0.7650
Epoch: 083 --> accuracy: Train: 0.9071, Val: 0.7640, Test: 0.7700
Epoch: 084 --> accuracy: Train: 0.8929, Val: 0.7660, Test: 0.7670
Epoch: 085 --> accuracy: Train: 0.9143, Val: 0.7500, Test: 0.7540
Epoch: 086 --> accuracy: Train: 0.9071, Val: 0.7440, Test: 0.7440
Epoch: 087 --> accuracy: Train: 0.9071, Val: 0.7260, Test: 0.7160
Epoch: 088 --> accuracy: Train: 0.9071, Val: 0.7180, Test: 0.7130
Epoch: 089 --> accuracy: Train: 0.8929, Val: 0.7200, Test: 0.7170
Epoch: 090 --> accuracy: Train: 0.8714, Val: 0.7380, Test: 0.7220
Epoch: 091 --> accuracy: Train: 0.8714, Val: 0.7200, Test: 0.7060
Epoch: 092 --> accuracy: Train: 0.8643, Val: 0.7000, Test: 0.6710
Epoch: 093 --> accuracy: Train: 0.8429, Val: 0.6380, Test: 0.6410
Epoch: 094 --> accuracy: Train: 0.8143, Val: 0.6160, Test: 0.6170
Epoch: 095 --> accuracy: Train: 0.8143, Val: 0.6260, Test: 0.6250
Epoch: 096 --> accuracy: Train: 0.8357, Val: 0.6440, Test: 0.6500
Epoch: 097 --> accuracy: Train: 0.8857, Val: 0.6960, Test: 0.6720
Epoch: 098 --> accuracy: Train: 0.9000, Val: 0.7320, Test: 0.6980
Epoch: 099 --> accuracy: Train: 0.9071, Val: 0.7440, Test: 0.7200
Epoch: 100 --> accuracy: Train: 0.9143, Val: 0.7420, Test: 0.7350
Epoch: 101 --> accuracy: Train: 0.9071, Val: 0.7640, Test: 0.7550
Epoch: 102 --> accuracy: Train: 0.9214, Val: 0.7520, Test: 0.7560
Epoch: 103 --> accuracy: Train: 0.9143, Val: 0.7500, Test: 0.7490
Epoch: 104 --> accuracy: Train: 0.9214, Val: 0.7400, Test: 0.7400
Epoch: 105 --> accuracy: Train: 0.9143, Val: 0.7340, Test: 0.7420
Epoch: 106 --> accuracy: Train: 0.9286, Val: 0.7300, Test: 0.7420
Epoch: 107 --> accuracy: Train: 0.9357, Val: 0.7360, Test: 0.7460
Epoch: 108 --> accuracy: Train: 0.9500, Val: 0.7380, Test: 0.7490
Epoch: 109 --> accuracy: Train: 0.9500, Val: 0.7420, Test: 0.7520
